Market Code,PID,Product Category 1,Product Category 2,Product Category 3,Product Description,Brand,Pack Size,Measure,[SM] Musgrave SKU,[SM] Musgrave Best Price List,[SM] Musgrave In Stock,[SM] Musgrave Best Price,[SM] Musgrave Units per Case,[SM] Musgrave Converted To,[SM] Musgrave Unit Price,Bulmers Ire / Bibendum (Gleeson Group) SKU,Bulmers Ire / Bibendum (Gleeson Group) Best Price List,Bulmers Ire / Bibendum (Gleeson Group) In Stock,Bulmers Ire / Bibendum (Gleeson Group) Best Price,Bulmers Ire / Bibendum (Gleeson Group) Units per Case,Bulmers Ire / Bibendum (Gleeson Group) Converted To,Bulmers Ire / Bibendum (Gleeson Group) Unit Price,Comans Beverages Ltd SKU,Comans Beverages Ltd Best Price List,Comans Beverages Ltd In Stock,Comans Beverages Ltd Best Price,Comans Beverages Ltd Units per Case,Comans Beverages Ltd Converted To,Comans Beverages Ltd Unit Price,Diageo Ireland SKU,Diageo Ireland Best Price List,Diageo Ireland In Stock,Diageo Ireland Best Price,Diageo Ireland Units per Case,Diageo Ireland Converted To,Diageo Ireland Unit Price,Findlater Wine & Spirit Group SKU,Findlater Wine & Spirit Group Best Price List,Findlater Wine & Spirit Group In Stock,Findlater Wine & Spirit Group Best Price,Findlater Wine & Spirit Group Units per Case,Findlater Wine & Spirit Group Converted To,Findlater Wine & Spirit Group Unit Price,Heineken Ireland Sales Ltd SKU,Heineken Ireland Sales Ltd Best Price List,Heineken Ireland Sales Ltd In Stock,Heineken Ireland Sales Ltd Best Price,Heineken Ireland Sales Ltd Units per Case,Heineken Ireland Sales Ltd Converted To,Heineken Ireland Sales Ltd Unit Price,John J Galvin & Son Ltd SKU,John J Galvin & Son Ltd Best Price List,John J Galvin & Son Ltd In Stock,John J Galvin & Son Ltd Best Price,John J Galvin & Son Ltd Units per Case,John J Galvin & Son Ltd Converted To,John J Galvin & Son Ltd Unit Price,Sysco Ireland SKU,Sysco Ireland Best Price List,Sysco Ireland In Stock,Sysco Ireland Best Price,Sysco Ireland Units per Case,Sysco Ireland Converted To,Sysco Ireland Unit Price
,1680311,Food,Bakery,Accompaniments,Brusa Bread Sticks : Thin with Extra Virgin Olive Oil,Brusa,15x200g,g,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0,482573,Greyhound Racing Ireland Group Price List,Yes,0,3.0000000,kg,0
Dry,1098711,Food,Bakery,Accompaniments,Sharwoods Poppadoms,Sharwoods,1x1kg,kg,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,Z414127,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0
,1675020,Food,Frozen: Bakery Sweet,Festive Products,Christmas Pudding : Log,,3x1.7kg,kg,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0,492446,Greyhound Racing Ireland Group Price List,Yes,0,5.1000000,kg,0
,1494641,Food,Dairy: Cheese,British (Chilled),Violife Cheddar : Slices : Original : Vegan,Violife,1x200g,g,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0,122001,Greyhound Racing Ireland Group Price List,Yes,0,0.2000000,kg,0
Dry,874890,Food,Ambient & Chilled: Cooking Ingredients,"Herb, Nut & Seed Paste & Puree",Knorr Professional Puree : Garlic,Knorr Professional,2x750g,g,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0,Z494305,Greyhound Racing Ireland Group Price List,Yes,0,1.5000000,kg,0
,725854,Food,Dairy: Dairy & Eggs (Chilled),Butter (Chilled),Butter : Unsalted,,20x454g,g,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0,DY517,Greyhound Racing Ireland Group Price List,Yes,0,9.0800000,kg,0
Dairy,495164,Food,Dairy: Dairy & Eggs (Chilled),Butter (Chilled),Dairygold Butter : Portions,Dairygold,150x7g,g,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0,497135,Greyhound Racing Ireland Group Price List,Yes,0,1.0500000,kg,0
,609538,Food,Dairy: Dairy & Eggs (Chilled),Butter (Chilled),Dromona Butter : Portions,Dromona,200x7g,g,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0,DY333,Greyhound Racing Ireland Group Price List,Yes,0,1.4000000,kg,0
,559921,Food,Dairy: Dairy & Eggs (Chilled),Butter (Chilled),North Cork Butter,North Cork,28x454g,g,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0,DY425,Greyhound Racing Ireland Group Price List,Yes,0,12.7120000,kg,0
Dry,408772,Food,Ambient & Chilled: Dessert Sundries & Pie Fillings,Treacle,Treacle : Black,,1x7.25kg,kg,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0,Z223001,Greyhound Racing Ireland Group Price List,Yes,0,7.2500000,kg,0
Dairy,1121874,Food,Ambient & Chilled: Desserts (Ambient),"Trifles, Mousses & Mixes (Ambient)",Creme Anglaise,,6x2ltr,ltr,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0,DY202,Greyhound Racing Ireland Group Price List,Yes,0,12.0000000,ltr,0
Fish,375515,Food,"Seafood: Fish,  Seafood & Other",Crustaceans (Chilled),Crab : Meat : White,,1x500g,g,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0,fs941z,Greyhound Racing Ireland Group Price List,Yes,0,0.5000000,kg,0
Fruit,288962,Food,Fruit Fresh: Fruit,Grapefruit,Grapefruit : Red (Ruby),,1x1each,each,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW627,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0
,1133207,Food,Fruit Fresh: Fruit,Mango,Mango : Large,,1x1each,each,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0,FW619,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,each,0
Fruit,217244,Food,Fruit Fresh: Fruit,Redcurrants,Redcurrants,,1x125g,g,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0,FW601,Greyhound Racing Ireland Group Price List,Yes,0,0.1250000,kg,0
,1370927,Food,Fruit Fresh: Fruit,Rhubarb,Rhubarb,,12x417g,g,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0,FW401,Greyhound Racing Ireland Group Price List,Yes,0,5.0040000,kg,0
Frozen,221305,Food,Frozen: Fruit,Cranberries,Cranberries,,1x1kg,kg,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F41Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0
Frozen,493921,Food,Frozen: Fruit,Rhubarb,Rhubarb : Whole,,1x1kg,kg,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,F76Z,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0
,553111,Food,Meat & Poultry,Prepared Poultry,Turkey &amp; Ham : Portions : 7-8oz,,24x1each,each,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0,492929,Greyhound Racing Ireland Group Price List,Yes,0,24.0000000,each,0
Poultry,206496,Food,Meat & Poultry,Turkey (Chilled),Turkey : 4.5-6.5kg : Butterfly : Skin On,,Kg,kg,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,TY113,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0
,1104772,Food,Meat & Poultry,Turkey (Chilled),Turkey : 4.5-6kg : Butterfly : Male,,Kg,kg,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0,A118,Greyhound Racing Ireland Group Price List,Yes,0,1.0000000,kg,0
,616190,Food,Frozen: Meat & Poultry,Chicken (Frozen),Chicken : Liver,,1x2.5kg,kg,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0,C200Z,Greyhound Racing Ireland Group Price List,Yes,0,2.5000000,kg,0
